id,,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
SACRED_HEART,,Brgy. Sacred Heart,Medium,1.73,6089,0.033338808,51,33,18,14.63139731,121.0388454
SAINT_PETER,,Brgy. Saint Peter,Medium,2.37,4049,0.343294641,34,22,12,14.634906,120.9998444
SAINT_IGNATIUS,,Brgy. Saint Ignatius,Low,1.27,2054,0.066212269,17,11,6,14.61285106,121.0729148
SALVACION,,Brgy. Salvacion,Low,0.8,6681,0.071845532,56,42,14,14.6265338,120.9939571
SAN_AGUSTIN,,Brgy. San Agustin,Low,0.67,25355,0.073713272,211,158,53,14.73016968,121.0343875
SAN_ANTONIO,,Brgy. San Antonio,Medium,3.45,22229,0.295469882,185,120,65,14.65004568,121.0169596
SAN_BARTOLOME,,Brgy. San Bartolome,Medium,3.22,51148,0.15971299,426,277,149,14.70627741,121.0309644
SAN_ISIDRO,,Brgy. San Isidro,Low,0.45,6550,0.107938931,55,36,19,14.61289501,121.0083339
SAN_ISIDRO_LABRADOR,,Brgy. San Isidro Labrador,Low,0.64,6247,0.180726749,52,39,13,14.62389198,120.9961127
SAN_JOSE,,Brgy. San Jose,Low,0.43,5844,0.022245038,49,37,12,14.64060831,120.9937424
SAN_MARTIN_DE_PORRES,,Brgy. San Martin de Porres,Medium,2.12,11632,0.021836314,97,63,34,14.6175614,121.0497756
SAN_ROQUE,,Brgy. San Roque,Low,0.2,19093,0.05693186,159,103,56,14.61911196,121.0621319
SAN_VICENTE,,Brgy. San Vicente,Low,0.98,7160,0.052513966,60,39,21,14.65316625,121.0557906
SANGANDAAN,,Brgy. Sangandaan,Medium,3.45,21061,0.263330326,175,131,44,14.6746409,121.0204107
SANTOL,,Brgy. Santol,Medium,1.56,6410,0.184711388,53,34,19,14.6104505,121.0153031
SAUYO,,Brgy. Sauyo,Low,1.4,76289,0.077363709,635,413,222,14.69487742,121.0463794
SIENA,,Brgy. Siena,Medium,4.56,2072,0.443532819,17,13,4,14.63635169,121.0045059
SIKATUNA_VILLAGE,,Brgy. Sikatuna Village,Low,0.56,6121,0.026793008,51,33,18,14.63806739,121.0592293
SILANGAN,,Brgy. Silangan,Medium,3.24,4831,0.305526806,40,30,10,14.62752868,121.0587933
SOCORRO,,Brgy. Socorro,Medium,3.47,22227,0.019795744,185,139,46,14.61751377,121.0564081
SOUTH_TRIANGLE,,Brgy. South Triangle,High,4.983,14494,0.06057679,121,103,18,14.63793836,121.0360955
STA_CRUZ,,Brgy. Sta. Cruz,Medium,2.65,3945,0.242585551,33,25,8,14.63566465,121.0205774
STA_LUCIA,,Brgy. Sta. Lucia,High,5.21,28215,0.161297182,235,200,35,14.70649847,121.050856
STA_MONICA,,Brgy. Sta. Monica,High,5.43,51834,0.203746576,431,366,65,14.71904454,121.0462579
STA_TERESITA,,Brgy. Sta. Teresita,Low,0.88,11776,0.042204484,98,64,34,14.62069579,121.0002183
STO_CRISTO,,Brgy. Sto. Cristo,Medium,2.465,25783,0.042974053,215,161,54,14.6598486,121.028958
STO_DOMINGO,,Brgy. Sto. Domingo,High,5.13,11476,0.43935169,96,82,14,14.62970699,121.0077004
STO_NINO,,Brgy. Sto. Nino,Low,0.4,7070,0.039462518,59,38,21,14.61107394,121.0117633
TAGUMPAY,,Brgy. Tagumpay,Medium,3.267,2257,0.100575986,19,14,5,14.622268,121.0636452
TALAYAN,,Brgy. Talayan,High,5.032,4402,0.574511586,37,31,6,14.63473323,121.0112586
TALIPAPA,,Brgy. Talipapa,Medium,4.197,38949,0.12233947,324,243,81,14.68541325,121.0250776
TANDANG_SORA,,Brgy. Tandang Sora,Medium,3.291,83114,0.137389609,692,519,173,14.68206282,121.0400757
TATALON,,Brgy. Tatalon,Medium,4.38,55404,0.377608115,461,346,115,14.62357546,121.013913
TEACHERS_VILLAGE_EAST,,Brgy. Teachers Village East,Low,0.917,2401,0.051645148,20,13,7,14.6443337,121.0593115
TEACHERS_VILLAGE_WEST,,Brgy. Teachers Village West,Low,1.102,2986,0.104152713,25,16,9,14.64267995,121.0562375
UGONG_NORTE,,Brgy. Ugong Norte,Medium,2.518,6301,0.198063799,52,39,13,14.59662112,121.0710797
UNANG_SIGAW,,Brgy. Unang Sigaw,Low,1.284,6508,0.047633682,54,35,19,14.65919237,121.0013573
UP_CAMPUS,,Brgy. UP Campus,Medium,3.312,47127,0.014768604,392,294,98,14.65398027,121.0647942
UP_VILLAGE,,Brgy. UP Village,Low,0.873,3167,0.059677929,26,17,9,14.64888507,121.0563055
VALENCIA,,Brgy. Valencia,Medium,4.112,10900,0.03706422,91,68,23,14.61075866,121.0365006
VASRA,,Brgy. Vasra,Medium,2.678,7345,0.257045609,61,46,15,14.65695557,121.0463517
VETERANS_VILLAGE,,Brgy. Veterans Village,Medium,3.284,12755,0.109368875,106,80,26,14.65455274,121.0240285
VILLA_MARIA_CLARA,,Brgy. Villa Maria Clara,Low,1.482,2442,0.33988534,20,13,7,14.61656098,121.0687836
WEST_TRIANGLE,,Brgy. West Triangle,Medium,3.564,2431,0.229946524,20,15,5,14.64307947,121.0312166
WEST_KAMIAS,,Brgy. West Kamias,Medium,3.193,4055,0.510974106,34,26,8,14.63044628,121.0493061
WHITE_PLAINS,,Brgy. White Plains,Medium,2.862,3558,0.184373243,30,22,8,14.60618026,121.0726714
